"commodity","horizon","beta_pre","beta_post","beta_diff","nobs","nvalid","lower_diff90","lower_diff68","upper_diff68","upper_diff90","lower_pre90","lower_pre68","upper_pre68","upper_pre90","lower_post90","lower_post68","upper_post68","upper_post90"
"Copper",24,-0.0122813097019035,-0.390505592610637,-0.378224282908734,275,500,-0.695237058414839,-0.506971179425299,0.0517414709751883,0.285188494327619,-0.481509343234738,-0.26510016183428,0.0953232857453404,0.175670700435696,-0.696723698942419,-0.542775233984856,-0.094254081686245,0.0575470395638615
"Gold",0,0.00715991770761843,-0.0601525426135651,-0.0673124603211836,275,500,-0.10251623780105,-0.0805969850390117,-0.00569002428412749,0.0162519375234499,-0.0324510256697002,-0.0204365223609839,0.0103911270828682,0.0236420417643523,-0.102792147900641,-0.0829268862312014,-0.0177814523329806,0.000820268481824515
"Gold",1,-0.00213656126337917,-0.0089564984856322,-0.00681993722225304,275,500,-0.0653337418545961,-0.0292955936094395,0.0630981736009592,0.0939233035195299,-0.0560989726895128,-0.0412094465092575,0.000664455283021343,0.0147450105341958,-0.0701981939847882,-0.0446354033087511,0.0378886485023669,0.0665227642325711
"Gold",2,-0.00320950864697731,0.0438017882702922,0.0470112969172695,275,500,-0.0601901218039387,-0.010677994430932,0.123287083282015,0.169325255874188,-0.0627613589128159,-0.0425481332439456,0.00814983815850456,0.0317415507633072,-0.0550589202424562,-0.0176377342791856,0.0961407537708516,0.140272741601131
"Gold",3,-0.0028377529954435,0.0271677675283255,0.030005520523769,275,500,-0.0647992189851197,-0.0151033146041411,0.132583862723611,0.175451454571127,-0.0835262821932199,-0.051433389658331,-0.0024290935466948,0.0146092454848504,-0.0820859967402439,-0.0365040508567901,0.100454716747286,0.138089021718792
"Gold",4,-0.0207954558895483,0.0207990897412973,0.0415945456308455,275,500,-0.0698292297727857,-0.0280904428513161,0.158018695908488,0.234330239727628,-0.0910048750491039,-0.0654940966065648,-0.00856130079546011,0.0106137562557601,-0.0956447016465192,-0.0539513518593779,0.115099900210693,0.189980345767936
"Gold",5,-0.065842368388573,-0.0364698119837681,0.0293725564048049,275,500,-0.0751336316100227,-0.0252615552710702,0.149118836793615,0.205020668893313,-0.145152998172593,-0.114252157026503,-0.0485797407117892,-0.0183140141885367,-0.150460431162516,-0.101093414539563,0.0581649941898925,0.11483509665021
"Gold",6,-0.0533596924950005,-0.0429051166653912,0.0104545758296092,275,500,-0.0971695365300094,-0.0489883872562208,0.11728273275681,0.190465551143781,-0.147535603822148,-0.112002715607686,-0.038115645445073,-0.0149951331190972,-0.158093574427744,-0.112247328587907,0.0368795772812623,0.0972993335199682
"Gold",7,-0.0293422200090482,-0.0911886241403044,-0.0618464041312562,275,500,-0.175720551092555,-0.115373108780597,0.0526949521347059,0.122630095623203,-0.121842601520026,-0.0881485754665114,-0.0115508641357502,0.0130284537193359,-0.214533120942831,-0.154208074041047,0.0053110659996233,0.0630015790342374
"Gold",8,-0.0399457697032615,-0.0769773017491648,-0.0370315320459033,275,500,-0.165984575518521,-0.0970732099953833,0.0893845044193412,0.173537336262812,-0.141540132888512,-0.106044893350729,-0.0215199601491323,-0.000574502998566512,-0.221723886801175,-0.153838813933457,0.0232378110965937,0.0924709956570931
